"","evangelical","inputstate","pew_churatd"
"1293",0,48,2
"1294",0,48,2
"1295",1,53,1
"1296",0,47,5
"1297",0,20,5
"1298",0,32,6
"1299",0,41,5
"1300",1,37,2
"1301",1,48,2
"1302",0,39,2
"1303",0,51,2
"1304",1,37,5
"1305",0,51,6
"1306",0,12,2
"1307",0,48,6
"1308",0,49,2
"1309",1,8,6
"1310",0,6,6
"1311",0,36,6
"1312",0,31,6
"1313",1,12,2
"1314",0,29,5
"1315",0,6,2
"1316",0,18,1
"1317",0,6,2
"1318",0,36,6
"1319",0,42,6
"1320",0,22,5
"1321",0,42,4
"1322",0,26,3
"1323",0,24,6
"1324",1,6,3
"1325",0,42,6
"1326",0,41,2
"1327",1,42,5
"1328",0,25,6
"1329",0,46,4
"1330",0,18,2
"1331",0,6,4
"1332",0,36,3
"1333",0,4,1
"1334",0,12,3
"1335",1,1,4
"1336",0,55,4
"1337",1,19,2
"1338",1,36,5
"1339",0,36,4
"1340",0,49,2
"1341",1,36,2
"1342",0,36,6
"1343",0,6,5
"1344",1,45,5
"1345",0,12,6
"1346",0,29,6
"1347",0,29,2
"1348",1,8,2
"1349",0,12,2
"1350",1,46,6
"1351",0,8,5
"1352",1,37,5
"1353",0,34,2
"1354",1,12,5
"1355",0,37,4
"1356",0,12,3
"1357",0,4,2
"1358",1,6,1
"1359",0,48,6
"1360",0,32,6
"1361",0,6,6
"1362",0,36,2
"1363",1,51,4
"1364",0,6,6
"1365",1,41,5
"1366",0,6,2
"1367",0,6,6
"1368",0,49,1
"1369",1,12,2
"1370",1,13,5
"1371",1,20,2
"1372",0,24,5
"1373",1,13,6
"1374",0,6,4
"1375",1,6,5
"1376",0,45,6
"1377",0,26,4
"1378",1,12,5
"1379",1,15,4
"1380",0,18,2
"1381",0,11,6
"1382",0,36,6
"1383",0,51,6
"1384",0,48,5
"1385",1,47,4
"1386",0,51,5
"1387",0,39,4
"1388",0,6,6
"1389",0,36,3
"1390",1,1,1
"1391",0,54,6
"1392",1,26,1
"1393",0,12,6
"1394",0,36,4
"1395",0,42,6
"1396",1,21,4
"1397",0,13,6
"1398",0,8,6
"1399",0,35,5
"1400",0,31,6
"1401",0,9,6
"1402",0,6,6
"1403",1,37,3
"1404",0,18,3
"1405",1,18,5
"1406",1,41,1
"1407",1,4,3
"1408",0,24,6
"1409",1,45,1
"1410",0,26,5
"1411",1,53,6
"1412",1,55,1
"1413",1,47,6
"1414",0,25,6
"1415",0,24,5
"1416",0,42,2
"1417",0,17,1
"1418",0,42,3
"1419",1,8,4
"1420",1,12,5
"1421",1,6,5
"1422",0,39,2
"1423",0,1,6
"1424",1,45,2
"1425",0,13,5
"1426",0,6,5
"1427",0,42,2
"1428",0,8,4
"1429",1,41,5
"1430",1,53,2
"1431",1,6,2
"1432",0,40,5
"1433",0,6,2
"1434",1,34,1
"1435",0,17,6
"1436",1,51,2
"1437",0,51,5
"1438",0,9,6
"1439",0,48,1
"1440",0,26,1
"1441",0,55,6
"1442",0,12,5
"1443",0,6,4
"1444",0,6,5
"1445",0,53,5
"1446",0,17,2
"1447",0,35,5
"1448",0,12,5
"1449",1,6,1
"1450",1,6,1
"1451",0,34,6
"1452",0,17,6
"1453",0,23,5
"1454",0,23,5
"1455",1,4,2
"1456",0,29,6
"1457",1,34,4
"1458",0,24,6
"1459",0,31,2
"1460",0,12,5
"1461",0,48,4
"1462",1,53,5
"1463",0,36,4
"1464",0,6,6
"1465",0,6,6
"1466",0,4,5
"1467",1,22,2
"1468",0,53,6
"1469",0,12,2
"1470",0,23,5
"1471",0,12,6
"1472",1,39,2
"1473",0,32,5
"1474",1,47,5
"1475",0,45,5
"1476",0,25,5
"1477",0,26,2
"1478",0,48,6
"1479",0,8,6
"1480",0,34,2
"1481",0,53,2
"1482",0,17,6
"1483",0,18,6
"1484",0,42,5
"1485",1,35,2
"1486",0,42,2
"1487",0,18,5
